tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L3,cat,0,0,2.0,120.0,23.29262676497442,0.024242359249562032,12.0,,,,,,,,,,,
L3,cat,0,1,4.0,60.0,4.134374308918324,0.09080300464196212,18.0,,,,,,,,,,,
L3,cat,0,2,2.0,120.0,3.0757043387142935,0.034810917126509924,12.0,,,,,,,,,,,
L3,cat,0,3,3.0,120.0,4.670791035804465,0.035856527714077574,18.0,,,,,,,,,,,
L3,cat,0,4,4.0,60.0,28.35319744112496,0.03116903980921786,12.0,,,,,,,,,,,
L3,cat,1,0,3.0,120.0,1.1485054278537548,0.058636350178176984,6.0,,,,,,,,,,,
L3,cat,1,1,2.0,60.0,4.381644531539583,0.1873069133792841,6.0,,,,,,,,,,,
L3,cat,1,2,2.0,60.0,4.142931488964905,0.028756137479717527,6.0,,,,,,,,,,,
L3,cat,1,3,3.0,120.0,4.404808835342941,0.020934888300215827,18.0,,,,,,,,,,,
L3,cat,1,4,2.0,60.0,7.884492511795633,0.026519026022720243,6.0,,,,,,,,,,,
L3,cat,2,0,4.0,60.0,6.8214613566864974,0.0750727224492485,6.0,,,,,,,,,,,
L3,cat,2,1,4.0,120.0,10.73290009995902,0.08399082612204084,18.0,,,,,,,,,,,
L3,cat,2,2,3.0,60.0,11.886166382495384,0.0517527749842827,6.0,,,,,,,,,,,
L3,cat,2,3,2.0,120.0,4.551937669476322,0.05990982427279985,12.0,,,,,,,,,,,
L3,cat,2,4,4.0,120.0,6.790644416802788,0.02425192344262133,12.0,,,,,,,,,,,
L4,cat,0,0,3.0,60.0,4.429649570464296,0.22378781034469908,6.0,,,,,,,,,,,
L4,cat,0,1,4.0,60.0,4.134374308918324,0.09080300464196212,18.0,,,,,,,,,,,
L4,cat,0,2,2.0,120.0,1.0921849507601296,0.08861010094922658,18.0,,,,,,,,,,,
L4,cat,0,3,3.0,120.0,4.670791035804465,0.035856527714077574,18.0,,,,,,,,,,,
L4,cat,0,4,4.0,120.0,2.0854048865135795,0.2813311674165133,18.0,,,,,,,,,,,
L4,cat,1,0,2.0,60.0,1.8587243116217973,0.14979599495348384,18.0,,,,,,,,,,,
L4,cat,1,1,4.0,60.0,1.0715418698221368,0.1351281932831151,18.0,,,,,,,,,,,
L4,cat,1,2,2.0,60.0,4.142931488964905,0.028756137479717527,6.0,,,,,,,,,,,
L4,cat,1,3,2.0,60.0,2.6530004717597917,0.060833918075814154,18.0,,,,,,,,,,,
L4,cat,1,4,2.0,120.0,1.2774714590523426,0.23371016700144412,18.0,,,,,,,,,,,
L4,cat,2,0,4.0,60.0,6.8214613566864974,0.0750727224492485,6.0,,,,,,,,,,,
L4,cat,2,1,3.0,60.0,3.263488681282715,0.03760394967337601,12.0,,,,,,,,,,,
L4,cat,2,2,2.0,120.0,1.412961109537676,0.15023906310898796,18.0,,,,,,,,,,,
L4,cat,2,3,2.0,120.0,1.78236089691542,0.15098379647879331,18.0,,,,,,,,,,,
L4,cat,2,4,4.0,60.0,8.880515368933901,0.1881403699439609,18.0,,,,,,,,,,,
L5,cat,0,0,4.0,120.0,15.151446654565383,0.06978656783163392,18.0,,,,,,,,,,,
L5,cat,0,1,4.0,120.0,6.250253762274368,0.06223590366696547,18.0,,,,,,,,,,,
L5,cat,0,2,2.0,120.0,1.0921849507601296,0.08861010094922658,18.0,,,,,,,,,,,
L5,cat,0,3,3.0,120.0,4.670791035804465,0.035856527714077574,18.0,,,,,,,,,,,
L5,cat,0,4,4.0,120.0,2.0854048865135795,0.2813311674165133,18.0,,,,,,,,,,,
L5,cat,1,0,2.0,120.0,1.0355062329206202,0.05313319546433562,6.0,,,,,,,,,,,
L5,cat,1,1,4.0,60.0,5.261297233012685,0.242106020457864,18.0,,,,,,,,,,,
L5,cat,1,2,3.0,120.0,1.4415988048656083,0.03033202438647732,6.0,,,,,,,,,,,
